# per   ampl
0.2825552827 0.0000268582
0.2861189253 0.0000247989
0.3067198332 0.0000437418
0.3067489314 0.0000439529
0.3134588881 0.0000935860
0.3400535782 0.0000658035
0.3435961674 0.0000304367
0.3520353133 0.0000623769
0.3628855838 0.0000505270
0.3738719618 0.0000380346
0.3837714755 0.0000303631
0.3939946618 0.0000434049
0.4827405471 0.0000316330
0.4942637208 0.0000265522
0.5067614825 0.0000406306
0.5253512457 0.0000761652
0.5264859592 0.0000387351
0.5459431995 0.0000323984
0.5546633174 0.0000445116
0.5555927709 0.0000263643
0.5602159300 0.0000259325
0.5921558165 0.0001161642
0.5965144588 0.0001022239
0.6202183459 0.0001340567
0.6216925211 0.0000294148
0.6251655508 0.0000256741
0.6395213034 0.0000275753
0.6459131776 0.0000276526
0.6480486504 0.0001232899
0.6484321554 0.0003152478
0.6703669824 0.0000499893
0.6705740737 0.0000880789
0.6749154016 0.0000293612
0.6756853117 0.0002581173
0.6852705074 0.0000371937
0.6934370078 0.0000409361
0.6975333060 0.0000277520
0.7006510760 0.0000351573
0.7226182246 0.0000444755
0.7291770492 0.0000315097
0.7309072602 0.0000265461
0.7349146954 0.0000248827
0.7414920297 0.0000352855
0.7500237539 0.0001806951
0.7619206110 0.0000457213
0.7689772884 0.0000275713
0.7701472598 0.0000360455
0.7722323773 0.0000554849
0.7771856916 0.0001062433
0.7795950282 0.0000779029
0.7870437117 0.0000578911
0.7875072908 0.0000319192
0.7880303247 0.0000262881
0.8012695081 0.0000280948
0.8132584393 0.0000290067
0.8164941096 0.0000588410
0.8195756344 0.0000283304
0.8321105708 0.0000292289
0.8349064172 0.0000336895
0.8385031891 0.0001683768
0.8396600466 0.0000289469
0.8425971863 0.0002493580
0.8481744050 0.0000302687
0.8526747232 0.0000706815
0.8681392834 0.0000458854
0.8684800404 0.0000289723
0.8746995096 0.0000366800
0.8763138508 0.0000287839
0.8776584325 0.0002957376
0.8790798671 0.0000404598
0.9273783138 0.0001604669
0.9274687245 0.0012112269
0.9358084330 0.0000286050
0.9424949784 0.0000348805
0.9431318285 0.0000479026
0.9546054251 0.0000271399
0.9965797461 0.0000294882
1.0182335654 0.0002496749
1.0189115203 0.0000316075
1.0282782451 0.0000261082
1.0584042498 0.0002000206
1.0590137630 0.0000919140
1.0833404767 0.0000315579
1.0949708431 0.0000434772
1.1250015302 0.0000351777
1.1277829388 0.0000973903
1.1281561529 0.0004119777
1.1286630185 0.0000673025
1.1588170215 0.0000817769
1.1594171093 0.0000385641
1.1598779211 0.0001443810
1.1869978575 0.0000336970
1.1923341952 0.0000361945
1.1928156106 0.0000976214
1.2190705104 0.0000476949
1.2197165766 0.0000620126
1.2201983271 0.0000830567
1.2394641060 0.0000380880
1.2584988077 0.0000263667
1.2679072822 0.0000543875
1.2686128816 0.0000947928
1.2694482854 0.0000712194
1.2926406260 0.0000306655
1.3007117343 0.0000368094
1.3023818337 0.0000578795
1.3154348813 0.0000248936
1.3268534949 0.0000349419
1.3335478775 0.0000635606
1.3448842496 0.0000370598
1.3561811624 0.0000259564
1.3591616282 0.0000749878
1.3600314405 0.0001464431
1.3813598069 0.0000353757
1.3826803749 0.0000353026
1.3899830048 0.0000485781
1.3967299372 0.0000253097
1.4146987553 0.0000893114
1.4155536776 0.0000738276
1.4365609747 0.0000280416
1.4577276798 0.0000331028
1.4595353904 0.0000520722
1.5536977981 0.0000827740
1.5594156484 0.0000302315
1.5726126203 0.0000440695
1.5746527141 0.0000719875
1.5802740153 0.0000261449
1.6032834254 0.0000400132
1.6131479821 0.0000297808
1.6541964243 0.0000506227
1.6844338845 0.0000389545
1.7978139824 0.0000310368
1.8821411651 0.0000314203
1.9494933652 0.0000274032
2.0216494076 0.0001419006
2.0637703360 0.0000279902
2.1383057725 0.0000325055
2.2073739173 0.0000263299
2.2721120111 0.0000443002
2.3588971108 0.0000315507
2.5540829602 0.0000276015
2.6125339398 0.0000281292
2.7814830259 0.0000298168
2.8451449820 0.0000412320
3.1055334769 0.0000322454
3.1674867715 0.0000484230
3.2155406601 0.0000318607
3.2612404067 0.0000520486
3.4895665340 0.0000321449
3.5657767066 0.0000409422
3.7065705140 0.0000419708
3.8229820871 0.0000300797
4.2566509113 0.0000330656
4.4145851291 0.0000390283
4.5331511497 0.0000327200
4.6334607963 0.0000264003
4.8104385436 0.0000677267
4.8927234538 0.0000260459
5.0741339721 0.0000314786
5.1428280689 0.0000485241
5.2259382804 0.0000376130
5.2481064740 0.0000817365
5.5709513168 0.0000702428
5.6244697946 0.0000415101
5.6470446186 0.0000272036
5.8629537509 0.0000346068
6.0364308478 0.0000406543
6.2344676520 0.0000318217
6.3629658878 0.0000277874
6.4340411244 0.0000886510
6.5583143389 0.0001074811
6.7292704625 0.0000261898
6.8183466010 0.0000658748
7.0220930237 0.0000512746
7.0596037823 0.0000846690
7.2393258487 0.0001152301
7.3908735366 0.0000334075
7.9618586001 0.0000313654
8.0989122207 0.0001326345
8.4393345144 0.0000660727
8.5818644713 0.0000249549
8.8614133367 0.0000421975
9.1130967447 0.0000256505
9.2095014677 0.0002817964
9.2611896911 0.0000531892
10.5755092060 0.0001051952
11.1790062295 0.0000467775
12.1086424244 0.0000417695
13.0091721191 0.0000560917
